ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,payload_entropy,orig_payload_len,has_uri_payload,label
1780957236.708825,Cadf959b56f17,192.168.60.1,37254,192.168.60.5,80,tcp,0.005072,335,12298,10,8,4.7341,76,0,-1
1780957236.709246,C01d19fa3a521,192.168.60.1,37266,192.168.60.5,80,tcp,0.004707,335,12298,10,8,4.7341,76,0,-1
1780957236.824748,C180dc18fe5e8,192.168.60.1,37276,192.168.60.5,80,tcp,0.004575,335,12298,10,8,4.7341,76,0,-1
1780957237.317933,C8dca2343c4ab,192.168.60.1,46258,192.168.60.7,5000,tcp,0.003785,81,330,7,5,5.2825,81,0,-1
1780957237.322014,Cffead8a2070e,192.168.60.1,46272,192.168.60.7,5000,tcp,0.002205,90,254,7,5,5.4392,90,0,-1
1780957237.324291,C7853c962ac01,192.168.60.1,46286,192.168.60.7,5000,tcp,0.002499,90,239,7,5,5.3451,90,0,-1
1780957237.559018,C3b841b972656,192.168.60.1,37292,192.168.60.5,80,tcp,0.004074,335,12298,10,8,4.7343,76,0,-1
1780957238.660426,Ce819ae53d59c,192.168.60.1,47782,192.168.60.7,5000,tcp,0.002563,81,330,7,5,5.2798,81,0,-1
1780957238.662704,Cee8c109353b1,192.168.60.1,47790,192.168.60.7,5000,tcp,0.00286,90,254,7,5,5.4359,90,0,-1
1780957238.665547,C8c5090cad26a,192.168.60.1,47794,192.168.60.7,5000,tcp,0.003201,90,239,7,5,5.344,90,0,-1
1780957238.726379,C77cd76aa2558,192.168.60.1,42590,192.168.60.5,80,tcp,0.004849,335,12298,10,8,4.734,76,0,-1
1780957238.726381,Cf6bbb457c67b,192.168.60.1,42598,192.168.60.5,80,tcp,0.004782,335,12298,10,8,4.734,76,0,-1
1780957238.842194,C4b8b9041c3fd,192.168.60.1,42614,192.168.60.5,80,tcp,0.00431,335,12298,10,8,4.734,76,0,-1
1780957239.17655,Ca31b34c4beae,192.168.60.1,47810,192.168.60.7,5000,tcp,0.002758,81,330,7,5,5.2825,81,0,-1
1780957239.179196,C2da9a2da7c6e,192.168.60.1,47816,192.168.60.7,5000,tcp,0.003115,90,254,7,5,5.4378,90,0,-1
1780957239.182137,Cf76dd3671e8f,192.168.60.1,47830,192.168.60.7,5000,tcp,0.003297,90,239,7,5,5.3466,90,0,-1
1780957239.567109,C40cf03c6640e,192.168.60.1,47840,192.168.60.7,5000,tcp,0.003453,81,330,7,5,5.2825,81,0,-1
1780957239.570366,Ce502efd06124,192.168.60.1,47852,192.168.60.7,5000,tcp,0.002881,90,254,7,5,5.4378,90,0,-1
1780957239.57308,Cf1914d0a14d3,192.168.60.1,47854,192.168.60.7,5000,tcp,0.003151,90,239,7,5,5.3466,90,0,-1
1780957239.578121,Cc8e904932b34,192.168.60.1,42620,192.168.60.5,80,tcp,0.004108,335,12298,10,8,4.7341,76,0,-1
1780957240.343126,C87f9772e46cc,192.168.60.1,47862,192.168.60.7,5000,tcp,0.003016,81,330,7,5,5.2854,81,0,-1
1780957240.346088,Cdec3c3aa7e9b,192.168.60.1,47878,192.168.60.7,5000,tcp,0.003001,90,254,7,5,5.4426,90,0,-1
1780957240.348932,Cdd69bf46449f,192.168.60.1,47884,192.168.60.7,5000,tcp,0.00369,90,239,7,5,5.3426,90,0,-1
1780957240.745773,Ce8fd0a588dcd,192.168.60.1,42630,192.168.60.5,80,tcp,0.00394,335,12298,10,8,4.7339,76,0,-1
1780957240.74592,Cf893533ecd5e,192.168.60.1,42632,192.168.60.5,80,tcp,0.004067,335,12298,10,8,4.7339,76,0,-1
1780957240.85881,C12c8c3608471,192.168.60.1,42646,192.168.60.5,80,tcp,0.003667,335,12298,10,8,4.7339,76,0,-1
1780957241.594911,C6bc98f8a6e31,192.168.60.1,42658,192.168.60.5,80,tcp,0.003711,335,12298,10,8,4.7341,76,0,-1
1780957241.681298,Cd1a7f742609f,192.168.60.1,47892,192.168.60.7,5000,tcp,0.002306,81,330,7,5,5.2851,81,0,-1
1780957241.683583,Cb70742299dc3,192.168.60.1,47906,192.168.60.7,5000,tcp,0.002841,90,254,7,5,5.443,90,0,-1
1780957241.686531,C5be95f10f3be,192.168.60.1,47920,192.168.60.7,5000,tcp,0.003111,90,239,7,5,5.3441,90,0,-1
1780957242.198993,Cb8c3d414987c,192.168.60.1,47934,192.168.60.7,5000,tcp,0.002672,81,330,7,5,5.2854,81,0,-1
1780957242.201638,Cf86a77b6327e,192.168.60.1,47938,192.168.60.7,5000,tcp,0.002454,90,254,7,5,5.4435,90,0,-1
1780957242.204213,C241c4bca08ec,192.168.60.1,47952,192.168.60.7,5000,tcp,0.00219,90,239,7,5,5.3426,90,0,-1
1780957242.589335,C2bd5efcac470,192.168.60.1,47962,192.168.60.7,5000,tcp,0.002873,81,330,7,5,5.2854,81,0,-1
1780957242.592149,Cdaa32be86d88,192.168.60.1,47978,192.168.60.7,5000,tcp,0.002515,90,254,7,5,5.4435,90,0,-1
1780957242.59437,C1292c882e0e9,192.168.60.1,47990,192.168.60.7,5000,tcp,0.002401,90,239,7,5,5.3426,90,0,-1
1780957242.762988,Cb8be09e32e8d,192.168.60.1,42664,192.168.60.5,80,tcp,0.003791,335,12298,10,8,4.7341,76,0,-1
1780957242.763284,C8d48c66236c2,192.168.60.1,42672,192.168.60.5,80,tcp,0.003948,335,12298,10,8,4.7341,76,0,-1
1780957242.875058,C41b7543b4716,192.168.60.1,42680,192.168.60.5,80,tcp,0.004026,335,12298,10,8,4.7341,76,0,-1
1780957243.373146,Cc597b0e14a48,192.168.60.1,48000,192.168.60.7,5000,tcp,0.003007,81,330,7,5,5.2892,81,0,-1
1780957243.376142,Ca48c8b58b3ca,192.168.60.1,48002,192.168.60.7,5000,tcp,0.002153,90,254,7,5,5.4472,90,0,-1
1780957243.378347,C7818b8aeb208,192.168.60.1,48004,192.168.60.7,5000,tcp,0.002835,90,239,7,5,5.3489,90,0,-1
1780957243.427613,C921f706400d9,192.168.60.1,56500,192.168.60.6,22,tcp,0.007365,1,60,6,6,4.7729,1,0,-1
1780957243.437862,Cbc7aa74b44de,192.168.60.1,36050,192.168.60.6,6379,tcp,1.002402,5,7,6,4,2.9183,5,0,-1
1780957243.611132,Ccfbf963e12a7,192.168.60.1,42688,192.168.60.5,80,tcp,0.003224,335,12298,10,8,4.7342,76,0,-1
1780957244.555464,C0e08ae77e269,192.168.60.1,56512,192.168.60.6,22,tcp,0.010838,1,60,6,6,4.7729,1,0,-1
1780957244.56953,Ce22cb0f7ca63,192.168.60.1,36062,192.168.60.6,6379,tcp,1.002547,5,7,6,4,2.9183,5,0,-1
1780957244.703435,C41a3b6bc3216,192.168.60.1,48008,192.168.60.7,5000,tcp,0.003714,81,330,7,5,5.2923,81,0,-1
1780957244.705829,C801c490858ad,192.168.60.1,48018,192.168.60.7,5000,tcp,0.002404,90,254,7,5,5.4508,90,0,-1
1780957244.708298,Cfa9b41990790,192.168.60.1,48020,192.168.60.7,5000,tcp,0.002783,90,239,7,5,5.3489,90,0,-1
1780957244.780475,C72edff3a8e76,192.168.60.1,42704,192.168.60.5,80,tcp,0.005758,335,12298,10,8,4.7343,76,0,-1
1780957244.784248,C30f689b78f01,192.168.60.1,42716,192.168.60.5,80,tcp,0.004447,335,12298,10,8,4.7343,76,0,-1
1780957244.897037,C0a406067865a,192.168.60.1,42724,192.168.60.5,80,tcp,0.00437,335,12298,10,8,4.7343,76,0,-1
1780957245.222093,Cab697d9186a1,192.168.60.1,48032,192.168.60.7,5000,tcp,0.003131,81,330,7,5,5.2892,81,0,-1
1780957245.225086,C932cc9fba907,192.168.60.1,48044,192.168.60.7,5000,tcp,0.002402,90,254,7,5,5.4486,90,0,-1
1780957245.227411,C736d3e1ed535,192.168.60.1,48052,192.168.60.7,5000,tcp,0.003635,90,239,7,5,5.3489,90,0,-1
1780957245.602821,C0a3e884f7eb3,192.168.60.1,56528,192.168.60.6,22,tcp,0.009621,1,60,6,6,4.7729,1,0,-1
1780957245.609828,C50a60bc8e6ea,192.168.60.1,48062,192.168.60.7,5000,tcp,0.002198,81,330,7,5,5.2892,81,0,-1
1780957245.612251,C8eec16cfba62,192.168.60.1,48076,192.168.60.7,5000,tcp,0.003523,90,254,7,5,5.4486,90,0,-1
1780957245.61582,C7f66e53ab1a2,192.168.60.1,48092,192.168.60.7,5000,tcp,0.004225,90,239,7,5,5.3489,90,0,-1
1780957245.617192,C9bb8f6e3751a,192.168.60.1,36068,192.168.60.6,6379,tcp,1.00092,5,7,6,4,2.9183,5,0,-1
1780957245.628768,Cf59be58eb1e6,192.168.60.1,42736,192.168.60.5,80,tcp,0.004023,335,12298,10,8,4.7344,76,0,-1
1780957246.394979,Cb656dba137d4,192.168.60.1,48104,192.168.60.7,5000,tcp,0.002765,81,330,7,5,5.2876,81,0,-1
1780957246.397761,C801f9f50cc39,192.168.60.1,48112,192.168.60.7,5000,tcp,0.002291,90,254,7,5,5.4461,90,0,-1
1780957246.39975,Ceae320a37572,192.168.60.1,48118,192.168.60.7,5000,tcp,0.001942,90,239,7,5,5.3463,90,0,-1
1780957246.799728,Cc7ba6ef0c6f4,192.168.60.1,42738,192.168.60.5,80,tcp,0.004092,335,12298,10,8,4.7342,76,0,-1
1780957246.805986,C581212a1ed24,192.168.60.1,42742,192.168.60.5,80,tcp,0.003565,335,12298,10,8,4.7342,76,0,-1
1780957246.915294,Cc5f798bf7fff,192.168.60.1,42752,192.168.60.5,80,tcp,0.004139,335,12298,10,8,4.7342,76,0,-1
1780957247.586763,Cbfc73162a456,192.168.60.1,56530,192.168.60.6,22,tcp,0.00849,1,60,6,6,4.7729,1,0,-1
1780957247.598588,C3ae6df6c0041,192.168.60.1,36084,192.168.60.6,6379,tcp,1.004635,5,7,6,4,2.9183,5,0,-1
1780957247.64606,Ceedf30c8863b,192.168.60.1,42756,192.168.60.5,80,tcp,0.005855,335,12298,10,8,4.7344,76,0,-1
1780957247.726052,C73bcca82d322,192.168.60.1,48122,192.168.60.7,5000,tcp,0.003285,81,330,7,5,5.2904,81,0,-1
1780957247.729366,Cf265ba253b84,192.168.60.1,48138,192.168.60.7,5000,tcp,0.002249,90,254,7,5,5.4486,90,0,-1
1780957247.731652,C12c6d8d6dae8,192.168.60.1,48152,192.168.60.7,5000,tcp,0.003027,90,239,7,5,5.3474,90,0,-1
1780957248.243631,C9523b9ae4221,192.168.60.1,48156,192.168.60.7,5000,tcp,0.002992,81,330,7,5,5.2876,81,0,-1
1780957248.246265,Cf1e45b84537a,192.168.60.1,48166,192.168.60.7,5000,tcp,0.004291,90,254,7,5,5.4453,90,0,-1
1780957248.249976,Ccd8b6e1f9060,192.168.60.1,48172,192.168.60.7,5000,tcp,0.003044,90,239,7,5,5.3463,90,0,-1
1780957248.632779,Cb3ccb98de109,192.168.60.1,37298,192.168.60.7,5000,tcp,0.002527,81,330,7,5,5.2876,81,0,-1
1780957248.635242,C8ad196f697fa,192.168.60.1,37308,192.168.60.7,5000,tcp,0.002362,90,254,7,5,5.4453,90,0,-1
1780957248.637655,C8f75e76dcd2c,192.168.60.1,37322,192.168.60.7,5000,tcp,0.00197,90,239,7,5,5.3463,90,0,-1
1780957248.818549,Cfcf6c87f045e,192.168.60.1,44340,192.168.60.5,80,tcp,0.003589,335,12298,10,8,4.7342,76,0,-1
1780957248.824648,C59681bb185aa,192.168.60.1,44354,192.168.60.5,80,tcp,0.003298,335,12298,10,8,4.7342,76,0,-1
1780957248.932249,C327294c6f2c1,192.168.60.1,44362,192.168.60.5,80,tcp,0.004016,335,12298,10,8,4.7342,76,0,-1
1780957249.261824,C6093e5015096,192.168.60.1,55840,192.168.60.6,80,tcp,3.6e-05,0,0,1,1,0.0,0,0,-1
1780957249.261895,C7b0c0e4ad590,192.168.60.1,48028,192.168.60.7,80,tcp,2.2e-05,0,0,1,1,0.0,0,0,-1
1780957249.261943,C3b5f24fc6a07,192.168.60.1,44368,192.168.60.5,80,tcp,0.00022,0,0,3,1,0.0,0,0,-1
